lambda n k
9.564299999999999272e+03 1.344100000000000072e+00 2.349700000000000139e-03
9.721600000000000364e+03 1.327299999999999924e+00 2.576100000000000004e-03
9.878899999999999636e+03 1.309700000000000086e+00 2.827500000000000152e-03
1.003600000000000000e+04 1.291500000000000092e+00 3.107299999999999906e-03
1.019300000000000000e+04 1.272399999999999975e+00 3.419600000000000070e-03
1.035100000000000000e+04 1.252399999999999958e+00 3.769300000000000168e-03
1.050800000000000000e+04 1.231500000000000039e+00 4.162100000000000175e-03
1.066500000000000000e+04 1.209699999999999998e+00 4.604999999999999719e-03
1.082300000000000000e+04 1.186800000000000077e+00 5.106300000000000248e-03
1.098000000000000000e+04 1.162800000000000056e+00 5.676099999999999896e-03
1.113700000000000000e+04 1.137499999999999956e+00 6.326899999999999885e-03
1.129400000000000000e+04 1.110899999999999999e+00 7.073900000000000153e-03
1.145200000000000000e+04 1.082799999999999985e+00 7.936399999999999705e-03
1.160900000000000000e+04 1.053099999999999925e+00 8.938400000000000858e-03
1.176600000000000000e+04 1.021500000000000075e+00 1.011100000000000020e-02
1.192400000000000000e+04 9.880299999999999638e-01 1.149400000000000074e-02
1.208100000000000000e+04 9.522699999999999498e-01 1.314000000000000064e-02
1.223800000000000000e+04 9.139500000000000401e-01 1.511999999999999976e-02
1.239500000000000000e+04 8.727000000000000313e-01 1.753100000000000144e-02
1.255300000000000000e+04 8.280399999999999983e-01 2.051199999999999898e-02
1.271000000000000000e+04 7.793400000000000327e-01 2.426400000000000085e-02
1.286700000000000000e+04 7.257599999999999607e-01 2.909700000000000134e-02
1.302500000000000000e+04 6.661200000000000454e-01 3.552099999999999702e-02
1.318200000000000000e+04 5.986700000000000355e-01 4.443400000000000127e-02
1.333900000000000000e+04 5.206600000000000117e-01 5.764400000000000079e-02
1.349600000000000000e+04 4.274800000000000266e-01 7.949900000000000022e-02
1.365400000000000000e+04 3.125299999999999745e-01 1.235600000000000032e-01
1.381100000000000000e+04 1.936400000000000066e-01 2.273600000000000065e-01
1.396800000000000000e+04 1.383600000000000108e-01 3.638500000000000068e-01
1.412600000000000000e+04 1.205500000000000044e-01 4.785300000000000109e-01
1.428300000000000000e+04 1.150599999999999956e-01 5.750399999999999956e-01
1.444000000000000000e+04 1.150100000000000011e-01 6.593599999999999461e-01
1.459700000000000000e+04 1.178899999999999948e-01 7.347599999999999687e-01
1.475500000000000000e+04 1.224100000000000049e-01 8.030000000000000471e-01
1.491200000000000000e+04 1.275300000000000045e-01 8.650999999999999801e-01
1.506900000000000000e+04 1.322299999999999864e-01 9.218300000000000383e-01
1.522700000000000000e+04 1.354200000000000126e-01 9.740299999999999514e-01
1.538400000000000000e+04 1.361100000000000088e-01 1.022799999999999931e+00
1.554100000000000000e+04 1.336100000000000065e-01 1.069600000000000106e+00
1.569800000000000000e+04 1.278499999999999914e-01 1.116000000000000103e+00
1.585600000000000000e+04 1.193499999999999978e-01 1.163499999999999979e+00
1.601300000000000182e+04 1.090799999999999964e-01 1.212900000000000089e+00
1.617000000000000182e+04 9.808400000000000452e-02 1.264599999999999946e+00
1.632800000000000000e+04 8.724899999999999323e-02 1.318599999999999994e+00
1.648500000000000000e+04 7.716800000000000048e-02 1.374500000000000055e+00
1.664200000000000000e+04 6.815100000000000324e-02 1.431799999999999962e+00
1.679900000000000000e+04 6.029500000000000137e-02 1.490299999999999958e+00
1.695700000000000000e+04 5.356699999999999656e-02 1.549700000000000077e+00
1.711400000000000000e+04 4.786699999999999983e-02 1.609699999999999909e+00
1.727100000000000000e+04 4.306900000000000311e-02 1.670299999999999896e+00
1.742900000000000000e+04 3.904599999999999738e-02 1.731400000000000050e+00
1.758600000000000000e+04 3.568000000000000338e-02 1.793099999999999916e+00
1.774300000000000000e+04 3.286800000000000138e-02 1.855399999999999938e+00
1.790100000000000000e+04 3.052399999999999905e-02 1.918299999999999894e+00
1.805800000000000000e+04 2.857399999999999871e-02 1.981899999999999995e+00
1.821500000000000000e+04 2.695900000000000032e-02 2.046400000000000219e+00
1.837200000000000000e+04 2.563000000000000000e-02 2.111800000000000122e+00
1.853000000000000000e+04 2.454599999999999838e-02 2.178100000000000147e+00
1.868700000000000000e+04 2.367500000000000160e-02 2.245699999999999807e+00
1.884400000000000000e+04 2.299199999999999855e-02 2.314400000000000013e+00
1.900200000000000000e+04 2.247499999999999845e-02 2.384599999999999831e+00
1.915900000000000000e+04 2.210700000000000165e-02 2.456300000000000150e+00
1.931600000000000000e+04 2.187599999999999961e-02 2.529599999999999849e+00
1.947300000000000000e+04 2.177000000000000116e-02 2.604800000000000004e+00
1.963100000000000000e+04 2.178400000000000128e-02 2.681900000000000173e+00
1.978800000000000000e+04 2.191099999999999992e-02 2.761299999999999866e+00
1.994500000000000000e+04 2.214899999999999855e-02 2.842999999999999972e+00
2.010300000000000000e+04 2.249699999999999964e-02 2.927200000000000024e+00
2.026000000000000000e+04 2.295499999999999971e-02 3.014299999999999979e+00
2.041700000000000000e+04 2.352699999999999930e-02 3.104499999999999815e+00
2.057400000000000000e+04 2.421699999999999894e-02 3.197999999999999954e+00
2.073200000000000000e+04 2.503100000000000117e-02 3.295199999999999907e+00
2.088900000000000000e+04 2.597999999999999962e-02 3.396500000000000075e+00
2.104600000000000000e+04 2.707400000000000084e-02 3.502099999999999991e+00
2.120400000000000000e+04 2.832900000000000001e-02 3.612699999999999800e+00
2.136100000000000000e+04 2.976099999999999926e-02 3.728699999999999903e+00
2.151800000000000000e+04 3.139299999999999730e-02 3.850699999999999790e+00
2.167500000000000000e+04 3.325299999999999784e-02 3.979299999999999837e+00
2.183300000000000000e+04 3.537499999999999672e-02 4.115400000000000169e+00
2.199000000000000000e+04 3.780100000000000127e-02 4.259800000000000253e+00
2.214700000000000000e+04 4.058200000000000002e-02 4.413700000000000401e+00
2.230500000000000000e+04 4.378200000000000147e-02 4.578199999999999825e+00
2.246200000000000000e+04 4.748800000000000243e-02 4.754999999999999893e+00
2.261900000000000000e+04 5.180499999999999688e-02 4.945800000000000196e+00
2.277600000000000000e+04 5.686999999999999694e-02 5.152899999999999814e+00
2.293400000000000000e+04 6.286400000000000321e-02 5.378899999999999793e+00
2.309100000000000000e+04 7.004399999999999515e-02 5.627500000000000391e+00
2.324800000000000000e+04 7.873299999999999743e-02 5.902899999999999814e+00
2.340600000000000000e+04 8.940399999999999736e-02 6.210799999999999876e+00
2.356300000000000000e+04 1.027399999999999980e-01 6.558699999999999974e+00
2.372000000000000000e+04 1.197499999999999953e-01 6.956999999999999851e+00
2.387700000000000000e+04 1.420200000000000073e-01 7.420099999999999696e+00
2.403500000000000000e+04 1.721000000000000030e-01 7.968700000000000117e+00
2.419200000000000000e+04 2.143899999999999972e-01 8.634700000000000486e+00
2.434900000000000000e+04 2.770099999999999785e-01 9.468299999999999272e+00
2.450700000000000000e+04 3.764399999999999968e-01 1.055599999999999916e+01
